_type,_id,_revision,_page.next,regionas,telkinio_pav,m_vietos_kodas,m_vietos_pav,koord,data,vandens_temp,suspend_medziagos,sarmingumas,deguonis_istirpes,ph,skaidrumas,elektr_laidis,biochem_deg_suvartojimas,amonio_azotas,nitritu_azotas,nitratu_azotas,azotas_mineralinis,azotas_bendras,fosfatu_fosforas,fosforas_bendras,anglingumas,chlorofilas_a,kalcio_karbonatas,gyvsidabris,kadmis,nikelis,svinas,varis,chromas,vanadis,aliuminis,alavas,arsenas,cinkas,antracenas,fluorantenas,naftalenas,benz_a_pirenas,benz_b_fluorantenas,benz_k_fluorantenas,benz_ghi_perilenas,inden_123_cd_pirenas,p4_n_nonilfenolis,p4_n_oktilfenolis,p4_nonilfenolis_sakot,p4_tert_oktilfenolis,nonilfenoliai,pentachlorfenolis,benzenas,p12_dichloretanas,p123_trichlorbenzenas,p124_trichlorbenzenas,heksachlorbutadienas,trichloretilenas,tetrachlormetanas,dichlormetanas,tetrachloretilenas,trichlormetanas,aldrinas,dieldrinas,izodrinas,endrinas,alfa_heksachlorcikloheksanas,beta_heksachlorcikloheksanas,gama_heksachlorcikloheksanas,heksachlorbenzenas,pentachlorbenzenas,alfa_endosulfanas,beta_endosulfanas,o_p_ddt,p_p_ddd,p_p_ddt,p_p_dde,simazinas,atrazinas,diuronas,izoproturonas,chinoksifenas,aklonifenas,cibutrinas,terbutrinas,chlorpyrifosas,chlorfenvinfosas,trifluralinas,heptachloras,heptachloro_epoksidas,tributilalavo_katijonas,di2_etilheksilftalatas,bde_28,bde_47,bde_85,bde_99,bde_100,bde_153,bde_154,pcb_28,pcb_52,pcb_101,pcb_118,pcb_138,pcb_153,pcb_180,pfos,dikofolis,alachloras,bifenoksas,cipermetrinas,dichlorvosas,p4_t_oktilfenolio_dietoksilatas,p4_t_oktilfenolio_monoetoksilatas,p4_t_oktilfenolio_trietoksilatas
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,002bca3b-d516-4368-8f3c-cf244aabee07,ef975f3d-0d87-4033-93f7-a091ee440635,,Vilniaus,Drabužis,LTL116,Drabužis,POINT (6048718 541867),2021-07-29,24.8,2.1,3.2,8.68,8.68,2.1,381.0,1.5,0.022,"<0,005",0.016,0.043,0.425,"<0,015","<0,015",,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,003f1aed-aeed-4eda-88e4-1131734cf555,a8ca5c99-8c5e-4d4a-a47e-3d822ad04dbb,,Marijampolės,Vištytis,LTL68,Vištytis,POINT (6035329 417565),2021-07-28,25.2,4,2.6,7.2,8.6,4.3,251.0,1,0.02,0.002,0.03,0.052,0.41,"<0,007",0.059,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,0062734a-90a4-4d96-8ce6-fa4f55d8c86e,218d2b93-517d-4d62-b7a1-1876d9297b42,,Utenos,Šventosios tvenkinys,LTL536,Šventosios tvenkinys,POINT (6173459 614866),2018-08-20,21.3,4.7,4.1,110.353,8.5,1.6,363.0,2.3,"<0,014",0.003,0.04,0.057,0.64,0.004,0.029,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,007f2c89-a5c7-4f97-aa1a-d0ca226db00f,f73ea06b-5b19-4f57-bedc-d02862428e9f,,Vilniaus,Baltas,LTL338,Baltas,POINT (6126393 617851),2021-07-22,24.9,<2,2.7,8.2,8.23,4.3,312.0,1,"<0,02","<0,005",0.016,0.041,0.122,"<0,015","<0,015",,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,008d3fda-c713-4c4d-85be-5d4be24a3ccc,7f81f16e-4e6e-433c-8b57-80245750c6bc,,Utenos,Išnarai,LTL344,Išnarai,POINT (6114181 602959),2020-07-27,22.3,3.4,3.7,9.8,8.68,1.4,327.0,2.1,"<0,015","<0,005",0.063,0.083,0.605,"<0,015",0.027,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,00982328-b4ac-4b42-a8de-f4ce3ece74e8,edecfa6f-bed9-4884-bed6-06d5671509c4,,Utenos,Laukesas,LTL527,Laukesas,POINT (6181714 644152),2017-08-29,18.6,"<1,7",3.4,7.4,8.3,2.2,330.0,1.5,0.06,0.006,0.11,0.176,0.71,0.02,0.044,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,009b4452-46ad-4438-858b-37a7d2df2782,1a8bb806-afee-4d7a-8365-479a65578519,,Utenos,Alnis,LTL65,Alnis,POINT (6127535 606156),2018-08-13,22.8,<2,1.9,113.716,9.0,6,155.0,1.2,0.03,"<0,001",0.01,0.041,0.59,0.003,0.012,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,00ae33fd-28f2-45b9-8127-72af732fa028,178ccc26-17d1-4a6a-b8e6-b7fc9468d7bd,,Alytaus,Ilgis,LTL394,Ilgis,POINT (5988529 482829),2018-05-28,22.8,4,2.6,127.784,8.7,2,287.0,3.8,0.04,0.002,0.03,0.072,0.5,0.011,0.021,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,00c24c35-6d7c-43b3-b6a2-9acda81572ec,797f9b07-bc32-460f-85df-8b9c53496e8d,,Alytaus,Kaviškis,LTL395,Kaviškis,POINT (5985400 472067),2019-07-23,21.7,5.5,2.3,13.5,8.6,2.6,253.0,3.4,0.05,0.005,0.07,0.121,0.6,0.016,0.038,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,00d1f61f-e0dd-4d6f-a5c3-65587da2db1f,21e8c9fa-2cd0-4e1a-9a78-59d389cba4d5,,Utenos,Laukesas,LTL527,Laukesas,POINT (6181714 644152),2017-10-09,10.8,6,3.6,7.0,8.3,4.1,337.0,1.7,0.09,0.013,0.26,0.363,0.99,0.024,0.051,,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
